Name,Timestamp,Duration
instument1 1,2191.0384,5863
Pinces,2190.0376,5798
Petit marteau,2191.0384,5851
Moyen Marteau,2191.0384,5889
Gros Marteau,2191.0384,5964
Gros Marteau,10428.4089,15583
Gros Marteau,11700.1,14311
Moyen Marteau,12065.4495,13945
instument1 1,12170.0545,13841
Petit marteau,12198.0763,13813
Pinces,12325.1926,13685
Pinces,19612.3346,6399
Petit marteau,19650.3693,6361
instument1 1,19677.3934,6334
Moyen Marteau,19705.4193,6306
Gros Marteau,19840.5422,6171
Gros Marteau,21513.6289,4497
Petit marteau,21543.6564,4467
Moyen Marteau,21557.6694,4453
instument1 1,21572.6826,4438
Pinces,21590.6988,4420
Pinces,24378.9512,1632
instument1 1,24378.9512,1632
Petit marteau,24397.9671,1613
Moyen Marteau,24397.9671,1613
Gros Marteau,24440.0057,1571
