Name,Timestamp,Duration
Gros Marteau,3755.5545,15
Gros Marteau,3793.5886,14
Moyen Marteau,3807.6017,442
instument1 1,4250.0353,13
Moyen Marteau,4264.0477,13
instument1 1,4277.0599,59
Moyen Marteau,4336.1133,135
instument1 1,4471.2365,722
Pinces,5193.8946,405
Moyen Marteau,5599.773,453
Petit marteau,6053.2384,40
Pinces,6094.2756,12
Petit marteau,6106.2868,12
Pinces,6118.8047,12
Petit marteau,6131.8162,283
instument1 1,6415.5818,166
Petit marteau,6582.2414,99
instument1 1,6681.8388,379
Moyen Marteau,7061.2326,26
Gros Marteau,7087.2558,882
Gros Marteau,12584.4284,952
Moyen Marteau,13536.8725,261
Petit marteau,13798.1244,841
Pinces,14639.7448,30
Petit marteau,20047.7309,81
Pinces,20128.8046,371
Petit marteau,20500.1565,13
Moyen Marteau,21809.0227,545
Petit marteau,22355.0263,42
Moyen Marteau,22452.1146,13
instument1 1,22466.127,28
